Jaar	Beuk	Zomereik	Amerikaanse eik	Grove den	Corsicaanse den	Loofbomen	Naaldbomen	Totaal
1990	17,1	3,9	1,8	9,2	16,7	5,1	10,7	8,3
1991	28,6	12,4	15,7	11,1	15,8	14	12	12,9
1992	14,3	24,1	14,6	15,2	23,3	17,5	17,1	17,3
1993	4,8	31,2	19,1	13,4	18,3	19,5	15,6	16,8
1994	4,8	28,2	28,9	20,4	27,5	22,6	21,9	22,2
1995	44,4	42,5	40,6	21	36,7	37,6	24,1	33,2
1996	18,8	28,2	39,4	27,6	35,9	25,1	29,1	26,4
1997	11,1	27,3	16,1	13,7	25	20,9	15,9	19,3
1998	4,5	34,6	17,4	15,3	21,7	24,8	16,5	22,1
1999	9,1	29	9,7	19,4	22,5	22,8	20,2	21,9
2000	15,7	27,7	15,2	24,5	40,8	23,9	27,9	25,2
2001	11,6	24,3	25,5	18,1	34,1	22,5	21,4	22,1
2002	14,7	20,7	24,1	19,6	47,5	19,9	25,4	21,7
2003	7,1	21	13,8	15,4	47,5	18,9	22,3	20
2004	28,4	22,7	14,5	10,9	30	23,5	15,1	20,8
2005	18,8	23,2	19,4	15	35	22,6	19,2	21,3
2006	11,2	20	13,2	14,8	29,2	19,7	17,8	19,1
2007	13,3	19,2	12,3	11,3	24,8	18,8	14,1	17,3
2008	9,7	17,5	6,2	10,1	20,8	15,2	12,4	14,3
2009	7,7	20,2	5,5	6,4	21,7	17,8	9,7	15,1
2010	9,2	23,2	11	6,7	20,8	19,1	9,7	16,1
2011	18,9	27,1	6,5	11,7	16	23,7	12,7	20,1
2012	8,3	34,7	9,7	14	39,9	29	20	25
2013	6,7	30,2	4,3	8,4	34,8	25,5	14,7	20,8
2014	11	32,4	7,5	9,2	26,9	27,3	13,3	21,1
2015	9,3	23,8	5,4	12,8	42,7	22,8	19,8	21,5
2016	41,9	18,8	8,7	8,8	31	25,1	14,3	20,3
2017	10,4	24,8	17,6	13,1	35,1	23,1	18,6	21,1
2018	25,4	22,8	11	15,1	32,4	25,6	19,5	22,8
